Temperature,Humidity,Occupants,Energy_Consumption
19.36350297118406,49.6817760138721,54,242.1918097579726
33.767857660247905,53.671782968751074,95,397.71115835338566
28.299848545285126,72.72736966010902,35,149.45821788770996
24.966462104925917,47.00021930299461,36,132.8097729909769
13.900466011060914,73.48248424060856,13,74.72100137930383
13.899863008405067,34.406721548834575,26,86.90532231314518
11.452090304204987,68.83992186043153,82,317.07516957377953
31.654403644373378,72.37738165273682,30,135.41328491714998
25.02787529358022,39.09088264186694,72,303.9693782565688
27.70181444490114,51.51732661861002,80,337.62324281583557
10.51461235739506,38.27498873318278,82,303.57115083162165
34.247746304049855,65.33020644971089,43,160.8937410992105
30.811066020010543,56.76738840308283,67,311.41167017316974
15.308477766956905,61.76616733541605,47,144.76616877176116
14.545624180177516,39.824348347810556,56,222.70609229524047
14.585112746335845,40.587293102620976,74,285.2824086671287
17.60605607398844,32.07486627549532,21,76.99319451724065
23.11891079080595,46.103376759786485,3,64.84363376421359
20.798625466052894,57.98723306668374,80,333.89112589499905
17.28072850495105,72.89674569986644,71,307.8919642926635
25.296322368059485,63.346372372934034,45,161.58708721843558
13.487346516301045,51.76981616998757,58,248.33006631453802
17.303616213380455,77.65600571970688,33,130.64961017428894
19.159046082342293,65.96226002879159,10,77.58956092348329
21.4017496054259,76.5082601431275,30,127.31199695392198
29.62939903482534,56.379398663608285,10,89.69692731055103
14.991844553958995,42.94521373965698,55,225.72386704343245
22.85586096034029,32.6413343182361,37,128.52551511684027
24.810364221551062,66.30424257419253,20,113.00218176283973
11.161260317999943,36.06514990027671,93,322.8366819653032
25.18862129753596,45.13875641359836,9,74.22068783902643
14.263103092182288,56.62354539419487,25,94.24650056096353
11.626289824631987,58.22082938898738,90,341.4115041759295
33.722138431333335,60.0291598493568,7,99.98033512729518
34.14080082686398,38.31276651748503,7,86.6085146157474
30.209933702911528,48.98687024108244,59,278.20654120412945
17.61534422933427,60.85971135584833,71,296.6844165211956
12.441802850159597,78.49094323168924,33,116.94391960824251
27.105825662803923,66.38155688498443,15,97.2687043527889
21.003812343490033,76.1301878546979,12,97.80106101720746
13.05095587111947,68.11060291570885,86,345.66816391245675
22.379422752781757,59.58584844462003,75,316.46924488317615
10.85971302788046,39.60116845681723,90,324.3758247560066
32.73301005196955,63.334282594625655,21,126.36927517527349
16.469499540000424,61.16897829799535,95,359.6138966793032
26.56305710884955,60.123458522863324,26,116.662881866528
